X20241116.OAPS.3_BC15	X20241116.OAPS.4_BC35	X20241123.OAPS.5_BC14	X20241123.OAPS.5_BC16	X20241123.OAPS.5_BC30	X20241123.OAPS.5_BC33	X20241215.OAPS.3_BC11	X20241215.OAPS.3_BC24	X20241215.OAPS.4_BC16	X20241215.OAPS.4_BC25	X20241215.OAPS.5_BC18	X20241215.OAPS.5_BC20	X20241215.OAPS.6_BC21	X20241215.OAPS.6_BC23	L1.1.BC1	L1.1.BC10	L1.1.BC9	L2.2.BC2	L2.2.BC6	L3.3.BC3	L3.3.BC4	L3.3.BC5	L4.4.BC1	L4.4.BC7	L4.4.BC8
ENSG00000004939.16|5125|SLC4A1|protein_coding	538.507959372805	340.373808501264	0	0	0	0	350.252247970525	391.34056386832	153.997696020744	221.381054181447	566.994976129277	226.836067231341	318.81345533898	431.405484186339	424.845692077807	731.671623659887	635.339682744862	521.080776691211	633.333799155178	689.514534742482	651.010586632301	1068.59783674351	280.997378090961	565.17265244012	836.40176217601
ENSG00000008988.11|6765|RPS20|protein_coding	667.281601831519	775.295897141769	718.306738645603	700.16408048488	727.150487540506	727.150487540506	697.84446777025	674.969955882134	693.271598767594	735.603249763405	771.716686463486	749.373680968115	742.465551971209	759.052593322427	683.752205911828	716.433063400558	710.921958992752	715.097884712237	724.484545788381	742.784380106569	802.099380567248	725.607741338594	707.039958220733	678.285245338433	715.449123574787
ENSG00000019582.16|6122|CD74|protein_coding	362.907537838194	340.373808501264	477.817572882935	505.9934057205	202.902047387394	222.014542057428	475.111633083022	467.987486601633	216.291312908157	205.592827429449	212.388384816097	212.137833367565	209.058126482106	208.071517951369	553.507589917592	231.398625041485	460.351852444421	210.489357371021	445.173185962166	462.844721939615	172.411445364186	160.971773468057	598.146054328416	546.571232749116	180.159416524114
ENSG00000026025.16|5176|VIM|protein_coding	351.20084306922	422.315651288606	176.395492720521	176.395492720521	582.494330591817	610.96947559866	240.114123410729	224.217070761584	548.042696528293	570.97732122795	602.296401040533	587.009858363434	593.020213426708	583.934152564148	149.890325804054	550.626097258091	132.830021945518	639.761171757773	163.155813377635	167.63318095227	546.553081812566	592.813508245891	178.001962437603	175.47788057878	743.767687902749
ENSG00000034510.6|461|TMSB10|protein_coding	316.080758762298	630.321867594934	418.118487223642	446.299586466912	505.514348812089	519.708032975605	391.725204236758	387.602547835522	580.697815209814	586.240442361464	493.346064287875	457.441432749204	503.455433798155	572.764822089649	434.831454069767	525.597893424586	432.378103778572	499.712578988132	426.482414943142	413.538967189738	523.653672796202	514.191762635329	435.686394458673	434.156812277338	515.208826140886
ENSG00000055609.21|53322|KMT2C|protein_coding	163.893726765636	107.154717491139	64.8776581501961	115.347577129689	192.473175095843	189.37023155758	95.0690733148892	115.863332886133	183.603334153096	177.644529345564	185.044002584631	163.763491766869	159.997766689423	157.721790693762	95.6299272469207	169.177986720709	109.283175097049	161.627404925665	102.273864785555	93.5695348951189	175.665932945932	174.543816227653	94.9276284405887	97.8587802321618	175.649449711366
ENSG00000058272.19|11864|PPP1R12A|protein_coding	199.013811072558	560.986462159491	340.509459860111	340.509459860111	416.035140982115	420.978087065683	352.41174413571	351.327994829115	421.712686098533	402.727504034287	427.197623812304	425.144911797273	371.607922886501	425.471700578967	343.430191429108	410.186528677453	350.724977231528	418.760855657484	343.096440599749	350.970011828267	409.493506383875	413.730238250318	351.848315322509	338.389337719251	408.584217192147
ENSG00000060138.13|8621|YBX3|protein_coding	479.974485527935	321.464152473416	374.418445557421	388.54934520528	417.777422205833	417.777422205833	337.935331360221	350.164083350752	401.369374195264	471.099365548877	419.94115890834	379.561015436154	416.524862201969	519.259427802132	381.469344409346	425.549617177818	379.104897667304	446.211699189005	393.967888773666	368.16746558445	392.009719815597	410.758828741748	372.903992430286	374.648178139885	438.18000919716
ENSG00000060237.19|17280|WNK1|protein_coding	398.027622145116	340.373808501264	335.801851928071	363.499933701986	379.036463517822	397.824885614376	335.009793749911	370.345122895223	353.940150599735	351.900697832113	380.10349595868	391.346922923092	404.642348714295	434.36724213291	345.471606745698	390.585574944906	354.206795131204	393.286205586611	344.947531203347	359.147304827346	377.824530164958	387.754786894585	337.789357701928	362.649158224716	388.2151719781
ENSG00000063177.13|3857|RPL18|protein_coding	152.187031996662	800.508771845566	0	0	0	0	311.335331529355	285.979642826849	650.212494309808	749.289721844899	277.197543885424	567.090168078352	590.303038401081	724.43562438838	1106.8348293606	884.438226402061	1093.88919289985	1162.41096338809	885.658021926165	1100.00373246855	354.439097166475	782.933068505149	1613.60615600719	467.551921564099	418.200881088005
